Sample Name,Sample ID,Waste Stream Source,Year collected,Analyst,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
City Soil 3.2,,Municipal,2016,Pre2018,BULK,,,,,,,0.674,,0.011,1.077,,0.006,6.394,,0.01,0.3106,,0.0013,0.3758,,0.001,0.23,,0.0005,1.035,,0.005,4.371,,0.009,841.2,,8.9,< 12,,0,31.4,,4.2,670,,10,0.8207,,0.0028,13.3,,4,20.9,,1.1,37.7,,1.3,298.4,,2.4,< 2.8,,-0.9,10.5,,0.3,27.7,,0.4,172,,0.8,186,,1.8
City Soil 1.1,,Municipal,2016,Pre2018,BULK,,,,,,,0.531,,0.011,5.253,,0.015,22.89,,0.03,0.3345,,0.0018,0.2458,,0.001,0.1018,,0.0005,1.722,,0.009,2.104,,0.008,2533,,19,25.9,,7,53.7,,6.6,525,,11,1.653,,0.005,23.4,,6.9,27.7,,1.7,30.6,,1.5,106.6,,2,5.3,,1,5.7,,0.3,67.3,,0.7,142.3,,0.9,104.2,,1.7
City Soil 1.2,,Municipal,2016,Pre2018,BULK,,,,,,,0.585,,0.011,4.633,,0.013,20.84,,0.02,0.3362,,0.0017,0.2663,,0.001,0.1192,,0.0005,1.666,,0.008,2.128,,0.008,2688,,19,< 24,,-13,59.3,,6.6,542,,11,1.83,,0.005,29.8,,7.4,27.2,,1.7,29.1,,1.5,115.3,,2,3,,0.8,6.4,,0.3,67.9,,0.7,136.4,,0.9,106.1,,1.7
City Soil 1.3,,Municipal,2016,Pre2018,BULK,,,,,,,0.648,,0.012,4.788,,0.014,21.26,,0.03,0.3219,,0.0016,0.271,,0.001,0.1147,,0.0005,1.628,,0.008,2.875,,0.009,2469,,18,< 23,,-12,61.5,,6.8,524,,12,1.685,,0.005,22.2,,6.7,24.6,,1.6,26.5,,1.5,109.2,,2,< 2.5,,-1.7,5.7,,0.3,63.4,,0.7,159.9,,1,95.4,,1.6
City Soil 2.1,,Municipal,2016,Pre2018,BULK,,,,,,,0.658,,0.011,1.339,,0.006,8.012,,0.012,0.3242,,0.0013,0.377,,0.001,0.2229,,0.0005,1.098,,0.005,4.278,,0.009,1100,,10,< 14,,-5.7,30.9,,4.5,640,,10,0.8531,,0.003,20.4,,4.6,19.9,,1.1,36.9,,1.3,295.9,,2.5,< 3.0,,0,10.4,,0.3,30.8,,0.4,177.2,,0.9,197.8,,2
City Soil 2.2,,Municipal,2016,Pre2018,BULK,,,,,,,0.616,,0.01,1.2,,0.006,7.758,,0.011,0.3068,,0.0013,0.3684,,0.0009,0.2109,,0.0005,1.038,,0.005,4.045,,0.009,943.9,,9.3,20.2,,4.1,26.6,,4.1,601.8,,9.7,0.9665,,0.0031,15,,4.3,19.6,,1.1,34.7,,1.3,280.5,,2.4,< 2.8,,0,10.9,,0.3,27.3,,0.4,173.5,,0.8,189.9,,1.9
City Soil 2.3,,Municipal,2016,Pre2018,BULK,,,,,,,0.5979,,0.01,1.25,,0.006,7.339,,0.011,0.3005,,0.0012,0.3728,,0.0009,0.2155,,0.0005,1.049,,0.005,3.949,,0.009,969.5,,9.3,24,,4.4,27.9,,4.1,609.9,,9.6,0.8375,,0.0028,12.3,,3.9,19.3,,1,38.4,,1.3,275.8,,2.3,< 2.8,,0,9.9,,0.3,33.3,,0.4,172.9,,0.8,187.9,,1.8
City Soil 3.1,,Municipal,2016,Pre2018,BULK,,,,,,,0.694,,0.011,1.359,,0.007,7.5,,0.011,0.3315,,0.0014,0.4887,,0.0012,0.2272,,0.0005,1.121,,0.005,4.262,,0.009,1218,,11,42.6,,6.1,32,,4.5,641,,11,1.236,,0.004,20.7,,5.1,24.9,,1.2,39,,1.3,294.6,,2.5,< 2.9,,0,9.7,,0.3,35,,0.5,173.9,,0.9,178.7,,1.9
City Soil 3.3,,Municipal,2016,Pre2018,BULK,,,,,,,0.681,,0.012,1.516,,0.007,8.816,,0.013,0.3327,,0.0014,0.3985,,0.0011,0.2396,,0.0006,1.248,,0.006,4.402,,0.01,1180,,11,17.8,,4.2,33,,4.8,667,,11,0.9488,,0.0032,23.8,,5.1,21.2,,1.2,41.2,,1.4,297.7,,2.6,< 3.6,,0,11.2,,0.3,37.7,,0.5,186.5,,0.9,284.5,,2.4
comp city 2017.B1,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2017.B2,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2017.B3,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,Tqk59304,3/14/2018,7.45,,,,0.3067,,0.0094,0.8767,,0.006,5.112,,0.01,0.1128,,0.0008,0.1321,,0.0006,0.08085,,0.00033,0.5087,,0.0035,1.508,,0.005,698.9,,7.6,< 9.4,,-3.4,34.4,,3.8,392,,7.2,0.7644,,0.0027,8.7,,3.1,16.2,,0.8,25.5,,0.9,119,,1.4,1.4,,0.4,4.5,,0.2,23.7,,0.4,88.1,,0.6,65.3,,1
comp city 2017.B4,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry comp city 2017.B1,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,,,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry comp city 2017.B2,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,Tqk59304,3/16/2018,7.56,,,,0.79,,0.017,2.678,,0.012,14.81,,0.02,0.3419,,0.0018,0.3249,,0.0012,0.2876,,0.0008,1.306,,0.007,3.495,,0.01,1905,,17,< 21,,0,74.7,,6.9,866,,14,1.652,,0.005,31.4,,7.3,34.6,,1.6,55.1,,1.9,375.4,,3.5,10.7,,1.3,59.2,,0.8,37.4,,0.7,179.7,,1.1,140.4,,2
dry comp city 2017.B3,Boston City Compost 2017,Municipal,2017,EXJ2018,BULK,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP-4-Express-21-BULK-01,,Municipal,2021,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),7/9/2021 15:35,,,61.93,,0.953,,0.0098,3.262,,0.006,13.57,,0.01,0.2157,,0.0006,0.1805,,0.0004,0.09331,,0.00017,1.316,,0.001,1.568,,0.001,1624,,1,33.6,,0.6,27,,0.2,469.8,,0.4,1.51,,0.001,19.4,,2.1,14.7,,0.5,45.8,,0.4,220.1,,0.7,12.9,,0.4,6.4,,0.1,44,,0.1,106.7,,0.2,184.1,,0.6
FP-4-Express-21-BULK-02,,Municipal,2021,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),7/9/2021 15:57,,,62.68,,0.858,,0.0095,3.034,,0.006,13.61,,0.01,0.207,,0.0006,0.1739,,0.0003,0.08741,,0.00016,1.215,,0.001,1.576,,0.001,2828,,2,40.8,,0.8,23.6,,0.2,347.9,,0.4,1.501,,0.001,14.9,,2.1,12.8,,0.5,42.9,,0.4,212.2,,0.6,11,,0.4,6.3,,0.1,43.3,,0.1,107.3,,0.2,178.7,,0.5
FP-4-Express-21-BULK-03,,Municipal,2021,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),7/9/2021 16:18,,,61.59,,0.9476,,0.0098,2.94,,0.006,14.55,,0.01,0.1985,,0.0005,0.1738,,0.0003,0.08937,,0.00017,1.447,,0.001,1.468,,0.001,1774,,1,37.5,,0.7,26,,0.2,378.6,,0.4,1.469,,0.001,21.7,,2.1,11.5,,0.5,44.2,,0.4,202.4,,0.6,10.7,,0.4,6,,0.1,43.9,,0.1,105.4,,0.2,167.9,,0.5
Express comp BULK 1,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 16:25,,,59.8,,0.2703,,0.0086,2.602,,0.006,16.53,,0.01,0.3114,,0.0007,0.1827,,0.0004,0.08574,,0.00018,1.792,,0.001,1.687,,0.001,2354,,2,44.2,,0.8,25,,0.2,415.1,,0.4,1.748,,0.001,9.5,,2.4,15.4,,0.5,29.8,,0.4,144,,0.6,5.2,,0.3,4.8,,0.1,62.9,,0.2,136.8,,0.2,109.6,,0.4
Express comp BULK 2,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 16:47,,,57.65,,0.2567,,0.0075,2.825,,0.006,17.29,,0.01,0.3523,,0.0008,0.2035,,0.0004,0.0993,,0.0002,1.91,,0.001,1.901,,0.001,2341,,2,48.8,,0.9,30.4,,0.2,435.5,,0.4,1.73,,0.002,8.4,,2.5,15.8,,0.5,29.6,,0.4,138.8,,0.6,5.9,,0.3,4.6,,0.1,59.1,,0.2,127.8,,0.2,106.9,,0.5
Express comp BULK 3,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),4/22/2022 17:08,,,58.14,,0.2785,,0.0087,2.658,,0.006,17.54,,0.01,0.3225,,0.0008,0.1846,,0.0004,0.08864,,0.00019,1.797,,0.001,1.684,,0.001,2126,,2,45.2,,0.8,22.8,,0.2,416.9,,0.4,1.726,,0.001,0,,0,14.3,,0.5,29,,0.4,141.4,,0.6,6.4,,0.3,4.7,,0.1,62.3,,0.2,132.9,,0.2,110.8,,0.5
Express bulk 1,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),6/15/2022 17:22,,,42.97,,1.021,,0.01,4.548,,0.006,22.68,,0.01,0.1431,,0.0005,0.1152,,0.0003,0.05565,,0.00013,1.488,,0.001,1.234,,0.001,2145,,2,43.6,,0.7,27.4,,0.2,428.1,,0.4,2.521,,0.002,11.2,,2.8,14.9,,0.5,37.9,,0.4,162.1,,0.6,10.4,,0.4,6.4,,0.1,62.7,,0.2,133.1,,0.2,220.5,,0.6
Express bulk 2,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),6/15/2022 17:44,,,48.24,,0.9626,,0.0094,4.116,,0.006,20.83,,0.01,0.1335,,0.0004,0.1099,,0.0003,0.04968,,0.00012,1.348,,0.001,1.213,,0.001,2717,,2,37.8,,0.8,27.6,,0.2,399,,0.4,1.783,,0.001,16.1,,2.3,13.4,,0.5,32.5,,0.4,141.5,,0.6,6.2,,0.4,6.2,,0.1,60.9,,0.2,137.7,,0.2,193.4,,0.6
Express bulk3,,Municipal,2022,SRP 2022,BULK,Geochemistry Traces cups 60 F (A2),6/15/2022 18:05,,,43.75,,1.025,,0.009,4.603,,0.006,22.64,,0.01,0.1231,,0.0004,0.08991,,0.00025,0.04709,,0.00012,1.521,,0.001,1.045,,0.001,2301,,2,30.1,,0.7,20.4,,0.2,292.4,,0.3,2.023,,0.001,18.9,,2.5,12.3,,0.5,30.8,,0.4,141.6,,0.6,6.7,,0.4,5.6,,0.1,72.4,,0.2,132.4,,0.2,204.3,,0.6
